,loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
727,1005457,205457,19636.36364,3,13.185,620.9,C,普通企业,交通运输、仓储和邮政业,10+ years,0,1,2015/4/1,0,251,8,17.23,0,640.9090909,747.7272727,8,0,0.0,12751.0,75.80769231,0,0,Dec-98,0,1,5.0,0.0,2.0,10.0,8.0,3,1753,350.6,0
729,1042955,242955,24545.45455,5,14.049,723.34,D,普通企业,交通运输、仓储和邮政业,10+ years,2,2,2014/5/1,0,279,17,24.33636364,0,725.0,906.25,12,0,0.0,26280.92308,55.73076923,1,0,Mar-95,0,1,6.0,0.0,4.0,13.0,4.0,5,9622,2886.6,0
730,1011067,211067,35454.54545,3,8.775,964.5,B,普通企业,国际组织,10+ years,1,2,2016/2/1,0,17,13,18.06545455,3,736.3636364,797.7272727,14,0,0.0,91220.30769,88.61538462,0,0,Jan-95,0,1,11.0,,7.0,16.0,12.0,3,8476,847.6,0
731,1024969,224969,8272.727273,3,8.18,219.94,B,政府机构,金融业,8 years,0,0,2015/7/1,4,49,12,14.58,0,600.0,650.0,7,1,1.0,3146.0,42.5,1,0,4-Jul,4,1,4.0,0.0,3.0,12.0,4.0,1,208,41.6,0
732,1035608,235608,11818.18182,3,14.09,444.88,B,政府机构,建筑业,9 years,1,0,2012/8/1,0,64,14,18.74181818,2,631.8181818,684.469697,20,0,0.0,15662.76923,36.23076923,1,0,May-92,22915,1,,,,,,0,1145,114.5,0
733,1016187,216187,37936.36364,5,14.049,773.98,C,政府机构,制造业,2 years,0,2,2014/4/1,0,435,36,5.432727273,0,576.8181818,672.9545455,6,0,0.0,12696.0,70.15384615,0,0,May-79,0,1,4.0,0.0,3.0,9.0,8.0,2,2507,0.0,0
734,1048957,248957,23636.36364,3,10.908,665.44,B,上市企业,金融业,4 years,0,0,2012/5/1,4,643,45,12.55909091,0,580.9090909,629.3181818,15,0,0.0,12716.53846,69.78461538,1,0,May-00,58157,1,,,,,,0,914,0.0,0
735,1038062,238062,11818.18182,3,18.0,371.64,D,政府机构,建筑业,5 years,1,1,2017/12/1,5,196,14,4.218181818,0,680.0,736.6666667,7,0,0.0,183.0,5.446153846,1,0,13-May,6,1,2.0,0.0,5.0,5.0,2.0,3,778,233.4,0
737,1033870,233870,10000.0,3,4.788,301.15,A,普通企业,交通运输、仓储和邮政业,8 years,1,0,2016/12/1,0,166,8,8.263636364,1,740.0,925.0,8,0,0.0,546.0,1.5,0,0,Apr-90,0,1,1.0,0.0,4.0,9.0,4.0,3,1222,244.4,0
738,1024106,224106,10909.09091,3,15.389,341.73,C,普通企业,公共服务、社会组织,10+ years,0,1,2017/1/1,2,221,8,8.7,0,670.0,725.8333333,3,1,1.0,6386.538462,85.18461538,0,0,5-Dec,5,1,2.0,0.0,5.0,5.0,4.0,1,2720,272.0,0
739,1005360,205360,10909.09091,3,18.49,363.99,D,政府机构,电力、热力生产供应业,1 year,1,0,2012/9/1,0,156,18,12.21818182,0,600.0,700.0,10,0,0.0,13130.76923,76.43076923,1,0,Dec-00,299,1,9.0,0.0,3.0,18.0,14.0,0,0,0.0,1
740,1023114,223114,11818.18182,3,8.39,315.17,A,幼教与中小学校,文化和体育业,10+ years,1,0,2014/7/1,4,156,18,16.84636364,1,670.0,837.5,12,1,1.0,6802.923077,32.1,0,0,Aug-99,4,1,9.0,0.0,4.0,14.0,10.0,3,3326,665.2,0
742,1021384,221384,12000.0,3,7.667,339.5,A,世界五百强,信息传输、软件和信息技术服务业,10+ years,0,2,2013/10/1,0,4,3,16.7,0,790.0,921.6666667,9,0,0.0,2735.769231,10.2,0,0,Aug-98,162,1,3.0,0.0,5.0,14.0,5.0,0,646,129.2,0
743,1037643,237643,11818.18182,3,16.115,344.95,C,政府机构,文化和体育业,4 years,2,2,2015/9/1,9,116,14,31.55,0,680.0,850.0,10,0,0.0,6849.0,89.92307692,0,0,7-Sep,10,1,2.0,0.0,12.0,3.0,3.0,0,0,0.0,1
744,1034538,234538,24995.45455,3,16.115,729.56,C,普通企业,金融业,,0,2,2015/6/1,0,304,8,15.69272727,0,564.5454545,611.5909091,18,0,0.0,30024.61538,92.65384615,1,0,Nov-93,0,1,15.0,0.0,1.0,25.0,21.0,3,4799,479.9,0
745,1015369,215369,26181.81818,3,10.026,787.33,B,普通企业,制造业,< 1 year,1,2,2012/12/1,0,124,13,8.157272727,0,622.7272727,778.4090909,13,0,0.0,11430.46154,44.67692308,1,0,1-May,35089,1,4.0,0.0,6.0,23.0,14.0,2,243,72.9,0
746,1036562,236562,26500.0,3,7.26,821.4,A,政府机构,公共服务、社会组织,10+ years,0,1,2015/7/1,0,260,21,11.87272727,0,564.5454545,658.6363636,6,0,0.0,9284.307692,58.58461538,0,0,Aug-91,0,1,1.0,0.0,9.0,14.0,4.0,0,6850,0.0,0
747,1033363,233363,17454.54545,3,13.189,637.63,C,普通企业,批发和零售业,10+ years,0,0,2016/3/1,4,44,26,26.84454545,0,725.0,845.8333333,16,0,0.0,23465.76923,53.30769231,0,0,Nov-86,4,1,9.0,0.0,7.0,15.0,11.0,3,3388,0.0,0
748,1022230,222230,12272.72727,3,14.663,507.8,C,高等教育机构,金融业,7 years,1,1,2015/7/1,1,362,35,16.64181818,0,556.3636364,695.4545455,10,0,0.0,14189.0,66.9,0,0,6-Sep,1,1,7.0,0.0,4.0,9.0,5.0,2,5900,1180.0,0
749,1006185,206185,21818.18182,3,12.294,680.26,C,普通企业,金融业,,0,1,2015/1/1,0,161,14,34.27636364,0,730.9090909,913.6363636,14,0,0.0,19964.0,79.38461538,1,0,6-Oct,0,1,9.0,0.0,6.0,18.0,10.0,0,0,0.0,1
750,1015137,215137,7500.0,3,12.582,256.26,C,普通企业,建筑业,10+ years,1,0,2014/7/1,4,48,10,11.78181818,0,725.4545455,785.9090909,8,0,0.0,14244.23077,86.95384615,0,0,Sep-94,4,1,7.0,0.0,9.0,25.0,13.0,2,2306,691.8,0
752,1002572,202572,11236.36364,5,13.99,239.61,C,普通企业,国际组织,4 years,1,0,2015/10/1,0,98,19,34.89818182,0,741.8181818,865.4545455,10,1,0.0,5384.615385,31.1,0,0,7-Jul,0,1,3.0,0.0,4.0,9.0,5.0,0,0,0.0,1
753,1002435,202435,17727.27273,5,28.358,447.16,F,高等教育机构,交通运输、仓储和邮政业,2 years,1,1,2015/9/1,6,45,21,8.23,0,785.4545455,981.8181818,3,0,0.0,8034.230769,90.35384615,1,0,Mar-00,7,1,2.0,0.0,2.0,3.0,2.0,2,4781,478.1,0
754,1032060,232060,21818.18182,3,11.511,671.86,C,世界五百强,文化和体育业,10+ years,1,2,2016/6/1,0,472,3,11.38090909,0,576.8181818,721.0227273,11,1,0.0,11786.76923,65.44615385,0,0,5-Jul,0,1,3.0,0.0,2.0,15.0,10.0,3,7561,0.0,0
755,1003651,203651,13090.90909,3,8.01,381.04,A,高等教育机构,公共服务、社会组织,10+ years,0,0,2012/7/1,4,197,4,4.5,0,720.0,780.0,8,0,0.0,17756.53846,34.8,1,0,May-97,4,1,,,,,,2,5429,542.9,0
756,1037068,237068,35000.0,3,11.539,1137.43,B,幼教与中小学校,公共服务、社会组织,2 years,1,2,2015/1/1,4,110,13,10.33090909,0,556.3636364,602.7272727,12,0,0.0,49275.69231,93.80769231,1,0,Feb-94,4,1,11.0,0.0,2.0,24.0,19.0,3,1109,0.0,0
757,1016945,216945,21818.18182,3,10.439,768.68,B,政府机构,农、林、牧、渔业,6 years,0,0,2016/6/1,2,89,3,0.563636364,2,700.0,875.0,18,0,0.0,154.1538462,0.346153846,1,0,7-Jan,5,1,3.0,0.0,10.0,25.0,14.0,0,0,0.0,1
759,1041096,241096,14181.81818,3,8.349,404.92,A,普通企业,文化和体育业,3 years,2,0,2016/7/1,0,42,26,7.6,0,613.6363636,767.0454545,14,0,0.0,9350.0,21.0,1,0,Dec-96,0,1,9.0,0.0,1.0,29.0,19.0,0,2769,830.7,0
760,1035364,235364,12272.72727,3,7.601,462.54,A,普通企业,住宿和餐饮业,10+ years,2,1,2010/10/1,5,535,17,14.10545455,0,807.2727273,941.8181818,7,0,0.0,7167.692308,29.9,1,0,Apr-70,11933,1,,,,,,3,3834,1150.2,0
761,1023841,223841,3636.363636,3,13.041,137.67,C,普通企业,金融业,10+ years,1,2,2014/8/1,0,116,14,5.694545455,0,670.0,781.6666667,22,0,0.0,9237.692308,32.41538462,1,0,Jun-00,0,1,12.0,0.0,6.0,26.0,8.0,3,441,44.1,0
762,1003276,203276,818.1818182,3,6.741,31.11,A,政府机构,建筑业,1 year,1,1,2016/10/1,5,492,36,4.5,0,572.7272727,715.9090909,7,0,0.0,2672.307692,19.47692308,0,0,5-Sep,6,1,4.0,0.0,10.0,11.0,5.0,3,233,0.0,0
764,1007737,207737,21818.18182,3,10.725,643.0,B,普通企业,文化和体育业,4 years,0,1,2016/2/1,2,135,33,11.44,0,556.3636364,695.4545455,10,0,0.0,0.0,0.0,0,0,Nov-96,5,1,0.0,0.0,17.0,6.0,4.0,0,4634,0.0,0
765,1007229,207229,27272.72727,5,9.99,637.27,B,上市企业,住宿和餐饮业,9 years,0,1,2015/10/1,0,412,13,16.25,0,810.0,877.5,13,0,0.0,15683.07692,13.7,0,0,Jan-86,0,1,4.0,0.0,3.0,16.0,12.0,0,5709,570.9,0
768,1019858,219858,5454.545455,3,11.539,194.99,B,普通企业,建筑业,3 years,0,1,2016/10/1,0,390,13,1.333636364,1,609.0909091,761.3636364,9,2,0.0,1873.846154,11.07692308,0,0,4-Oct,0,1,3.0,0.0,1.0,27.0,13.0,3,600,180.0,0
769,1019135,219135,9163.636364,3,14.52,289.22,C,上市企业,金融业,10+ years,0,0,2018/6/1,0,137,32,37.33,0,758.1818182,884.5454545,18,0,0.0,22855.0,63.13846154,0,0,6-Dec,0,1,8.0,0.0,10.0,23.0,10.0,1,2893,0.0,0
770,1032022,232022,21850.0,3,15.61,763.99,C,政府机构,房地产业,7 years,1,2,2013/12/1,4,157,8,24.15454545,0,640.9090909,694.3181818,7,0,0.0,22408.0,102.2307692,1,0,May-96,22093,1,5.0,0.0,1.0,9.0,5.0,3,5673,1701.9,0
771,1046896,246896,28000.0,3,8.998,879.75,B,政府机构,国际组织,3 years,0,0,2015/10/1,0,81,15,24.36,0,585.0,682.5,13,0,0.0,30263.07692,41.46153846,0,0,Mar-95,0,1,6.0,0.0,9.0,16.0,9.0,1,8945,2683.5,0
772,1034886,234886,10000.0,3,11.061,333.53,C,政府机构,文化和体育业,3 years,1,2,2015/7/1,5,42,26,14.30181818,0,600.0,700.0,5,0,0.0,7999.615385,85.15384615,0,0,3-Aug,6,1,3.0,0.0,5.0,4.0,2.0,3,4644,1393.2,0
773,1008891,208891,9818.181818,5,8.253,250.1,B,普通企业,采矿业,9 years,0,0,2015/10/1,0,671,13,19.45636364,0,758.1818182,947.7272727,22,0,0.0,29928.92308,56.75384615,0,0,May-96,0,1,8.0,0.0,8.0,49.0,34.0,0,0,0.0,1
774,1012204,212204,8509.090909,3,5.852,216.83,A,政府机构,金融业,10+ years,0,0,2015/9/1,4,335,8,12.10909091,0,585.0,633.75,18,0,0.0,11919.69231,32.4,1,0,5-Aug,4,1,10.0,0.0,5.0,17.0,3.0,3,121,12.1,0
775,1003779,203779,18000.0,3,23.639,682.69,D,幼教与中小学校,金融业,4 years,0,1,2016/9/1,4,227,35,19.88727273,0,600.0,650.0,15,2,2.0,14470.0,47.88461538,1,0,1-Dec,4,1,7.0,0.0,34.0,12.0,6.0,3,8503,2550.9,0
776,1009424,209424,8450.0,3,15.813,303.67,D,政府机构,农、林、牧、渔业,8 years,0,2,2014/5/1,0,324,10,28.74,1,604.5454545,755.6818182,14,0,0.0,44483.0,69.69230769,1,0,Sep-94,0,1,6.0,0.0,7.0,12.0,9.0,0,0,0.0,1
777,1013287,213287,34036.36364,3,8.253,994.63,B,普通企业,公共服务、社会组织,1 year,0,1,2016/2/1,0,35,14,21.90909091,0,613.6363636,664.7727273,8,0,0.0,36822.0,78.83076923,0,0,Mar-93,0,1,3.0,0.0,2.0,10.0,6.0,3,14950,1495.0,0
779,1030938,230938,16363.63636,3,12.59,669.94,C,普通企业,住宿和餐饮业,10+ years,1,2,2015/12/1,0,277,8,12.7,0,720.0,840.0,5,0,0.0,13346.0,36.46153846,0,0,4-Oct,0,1,2.0,0.0,5.0,6.0,3.0,3,684,205.2,0
780,1043085,243085,11818.18182,3,16.61,347.15,C,上市企业,交通运输、仓储和邮政业,9 years,1,0,2013/11/1,7,34,18,26.41818182,0,556.3636364,602.7272727,8,0,0.0,15052.0,98.21538462,0,0,Sep-88,2348,1,1.0,0.0,14.0,19.0,5.0,0,618,61.8,0
782,1023295,223295,17672.72727,3,13.519,720.43,C,普通企业,建筑业,3 years,0,1,2015/6/1,0,526,20,29.25,0,705.0,822.5,6,0,0.0,51032.15385,108.7692308,1,0,May-99,0,1,3.0,0.0,6.0,6.0,4.0,1,9360,936.0,0
784,1040013,240013,8181.818182,3,8.668,312.81,A,上市企业,文化和体育业,< 1 year,1,0,2010/2/1,1,19,14,3.46,0,755.0,880.8333333,5,0,0.0,5138.0,28.86153846,1,0,Dec-95,16334,1,,,,,,3,1389,277.8,0
785,1036009,236009,6450.0,3,21.672,253.33,F,政府机构,国际组织,5 years,0,2,2014/2/1,2,320,13,5.378181818,0,741.8181818,865.4545455,7,0,0.0,4104.923077,54.9,1,0,4-Oct,5,1,5.0,0.0,0.0,6.0,6.0,2,214,21.4,0
786,1005276,205276,17727.27273,3,13.545,520.35,C,幼教与中小学校,公共服务、社会组织,< 1 year,0,0,2017/9/1,4,201,2,23.39181818,0,618.1818182,772.7272727,6,0,0.0,3082.153846,34.8,0,1,3-Apr,4,1,3.0,0.0,10.0,11.0,4.0,0,352,0.0,0
788,1021478,221478,37636.36364,3,12.303,1173.61,C,上市企业,住宿和餐饮业,3 years,1,1,2016/2/1,4,99,8,11.54,1,556.3636364,602.7272727,6,0,0.0,9229.0,49.2,0,0,7-Feb,4,1,2.0,0.0,2.0,9.0,4.0,0,5329,1598.7,0
789,1048484,248484,22909.09091,3,10.323,692.2,B,普通企业,金融业,9 years,0,2,2016/3/1,0,547,46,32.37,1,600.0,750.0,20,1,1.0,22842.0,57.69230769,0,0,Aug-99,0,1,11.0,0.0,25.0,17.0,5.0,0,2569,770.7,0
790,1026010,226010,10000.0,3,10.15,355.72,B,政府机构,公共服务、社会组织,4 years,1,0,2014/5/1,4,91,7,28.89,3,695.0,810.8333333,18,0,0.0,7024.615385,39.50769231,1,0,2-Sep,4,1,9.0,0.0,9.0,21.0,4.0,0,4766,953.2,0
791,1007032,207032,38181.81818,3,19.327,1257.8,D,普通企业,国际组织,10+ years,0,2,2015/5/1,0,328,3,24.09545455,0,631.8181818,684.469697,22,0,0.0,38425.38462,44.0,0,0,Sep-89,0,1,18.0,,9.0,28.0,18.0,3,2010,201.0,0
792,1044493,244493,19854.54545,5,12.089,365.19,B,上市企业,电力、热力生产供应业,2 years,1,1,2015/3/1,4,414,0,24.66363636,0,752.7272727,815.4545455,16,0,0.0,14678.46154,63.4,1,0,8-Aug,4,1,4.0,0.0,12.0,9.0,5.0,1,2297,459.4,0
794,1045262,245262,18763.63636,3,4.788,517.98,A,世界五百强,公共服务、社会组织,8 years,0,0,2016/5/1,0,112,23,20.79,0,790.9090909,922.7272727,10,1,1.0,11442.46154,50.21538462,0,0,Oct-00,0,1,3.0,0.0,14.0,5.0,4.0,3,4964,0.0,0
795,1038906,238906,10000.0,3,14.014,335.69,C,高等教育机构,金融业,3 years,2,1,2016/12/1,0,387,19,22.26363636,0,690.0,805.0,9,0,0.0,7551.923077,43.1,0,0,6-Jan,0,1,5.0,0.0,8.0,8.0,5.0,3,2268,453.6,0
797,1018316,218316,13636.36364,3,9.891,491.01,B,普通企业,房地产业,3 years,0,1,2015/8/1,0,52,19,31.03363636,0,752.7272727,878.1818182,11,2,1.0,14658.46154,93.04615385,1,0,May-97,0,1,6.0,0.0,36.0,7.0,4.0,2,4949,1484.7,0
798,1047848,247848,7272.727273,3,13.882,268.09,C,政府机构,住宿和餐饮业,< 1 year,0,2,2017/7/1,0,340,14,34.52727273,0,675.0,731.25,11,0,0.0,9375.692308,71.53846154,0,0,4-Feb,0,1,5.0,0.0,8.0,7.0,2.0,3,363,36.3,0
799,1033453,233453,18181.81818,3,15.389,683.46,C,普通企业,文化和体育业,7 years,2,1,2016/1/1,0,104,23,6.03,0,580.9090909,726.1363636,19,0,0.0,14786.0,29.5,0,0,8-Feb,0,1,4.0,0.0,1.0,22.0,19.0,0,0,0.0,1
801,1032494,232494,21818.18182,3,15.037,680.36,C,世界五百强,信息传输、软件和信息技术服务业,6 years,0,1,2016/2/1,2,99,8,4.672727273,0,605.4545455,655.9090909,16,0,0.0,4514.769231,12.7,0,0,Jan-99,5,1,7.0,0.0,5.0,16.0,5.0,1,1514,0.0,0
802,1039525,239525,28000.0,3,5.616,854.87,A,普通企业,金融业,10+ years,0,0,2015/11/1,4,13,10,16.69090909,0,677.2727273,846.5909091,8,0,0.0,30490.92308,65.90769231,0,0,Apr-83,4,1,5.0,0.0,1.0,20.0,14.0,0,0,0.0,1
805,1001969,201969,4363.636364,3,7.392,123.0,A,幼教与中小学校,采矿业,10+ years,0,1,2017/11/1,0,19,14,13.17272727,0,755.0,880.8333333,13,0,0.0,8885.0,16.1,0,0,4-May,0,1,6.0,0.0,13.0,10.0,4.0,3,1114,334.2,0
807,1001717,201717,3500.0,3,15.389,119.61,C,普通企业,农、林、牧、渔业,5 years,2,2,2016/9/1,5,759,15,26.12454545,0,568.6363636,663.4090909,9,0,0.0,9240.0,58.69230769,1,0,6-Jul,6,1,4.0,0.0,10.0,17.0,13.0,3,839,0.0,0
808,1047674,247674,11818.18182,3,11.511,335.93,C,普通企业,文化和体育业,8 years,1,0,2016/8/1,0,149,22,20.88181818,0,774.5454545,903.6363636,7,1,1.0,4551.923077,33.23076923,0,0,10-Jan,0,1,5.0,0.0,5.0,6.0,2.0,0,0,0.0,1
809,1043571,243571,9090.909091,3,18.75,365.3,D,高等教育机构,住宿和餐饮业,,0,2,2013/4/1,0,347,14,14.72727273,1,741.8181818,927.2727273,16,0,0.0,11865.53846,52.5,1,0,1-Mar,0,1,10.0,0.0,19.0,17.0,10.0,3,1211,363.3,0
811,1046796,246796,14802.27273,3,13.99,428.02,C,普通企业,信息传输、软件和信息技术服务业,10+ years,1,1,2017/2/1,4,715,13,15.06,5,690.0,862.5,19,0,0.0,11701.84615,69.7,0,0,Apr-95,4,1,7.0,0.0,19.0,12.0,5.0,3,5465,0.0,0
812,1009766,209766,7363.636364,3,12.582,307.52,C,政府机构,房地产业,3 years,1,2,2010/8/1,3,541,3,13.71818182,0,685.0,856.25,4,0,0.0,584.3076923,31.6,1,0,2-Sep,13200,1,,,,,,2,1921,0.0,0
814,1035237,235237,22779.54545,5,16.99,478.93,D,政府机构,电力、热力生产供应业,4 years,0,1,2015/11/1,0,190,17,20.55272727,0,548.1818182,685.2272727,7,2,1.0,9627.0,86.30769231,0,0,4-Feb,0,1,4.0,0.0,3.0,4.0,3.0,2,1395,418.5,0
815,1031581,231581,18000.0,5,14.661,538.4,C,普通企业,房地产业,1 year,1,2,2012/12/1,0,167,8,26.45181818,0,622.7272727,778.4090909,20,0,0.0,19216.0,57.0,0,0,Apr-97,173,1,7.0,0.0,8.0,29.0,13.0,0,0,0.0,1
816,1016159,216159,5727.272727,3,7.101,219.0,A,普通企业,交通运输、仓储和邮政业,< 1 year,1,0,2015/10/1,0,53,19,11.5,0,680.0,850.0,7,2,1.0,1316.0,3.692307692,0,0,2-Jan,0,1,6.0,,5.0,12.0,7.0,1,2893,867.9,0
817,1046559,246559,9818.181818,3,20.889,439.82,D,幼教与中小学校,房地产业,10+ years,0,2,2016/8/1,0,7,0,25.00363636,0,576.8181818,624.8863636,14,0,0.0,22370.92308,45.3,0,0,4-Aug,0,1,9.0,0.0,3.0,20.0,10.0,1,2422,242.2,0
818,1043467,243467,40000.0,5,13.882,902.37,C,幼教与中小学校,信息传输、软件和信息技术服务业,6 years,0,1,2018/2/1,2,48,10,4.509090909,0,758.1818182,884.5454545,5,1,1.0,633.4615385,23.69230769,0,0,6-Apr,5,1,2.0,0.0,4.0,11.0,2.0,0,0,0.0,1
819,1033323,233323,16363.63636,3,15.543,644.18,C,普通企业,采矿业,10+ years,0,2,2013/5/1,5,23,9,11.4,0,780.0,910.0,11,0,0.0,22322.30769,73.8,1,0,May-94,6,1,6.0,0.0,4.0,16.0,7.0,0,1913,191.3,0
821,1001626,201626,23636.36364,3,12.99,673.79,C,政府机构,建筑业,7 years,1,2,2014/5/1,0,62,13,16.88181818,0,659.0909091,823.8636364,20,0,0.0,14820.61538,27.35384615,0,0,Feb-99,0,1,9.0,0.0,10.0,28.0,15.0,1,6985,0.0,0
823,1020201,220201,10909.09091,3,10.99,392.81,B,普通企业,住宿和餐饮业,4 years,1,0,2014/7/1,0,187,9,13.05,0,665.0,720.4166667,10,0,0.0,14988.61538,86.76923077,1,0,Jul-97,0,1,8.0,0.0,15.0,15.0,6.0,0,2892,578.4,0
824,1042946,242946,24545.45455,5,14.049,651.01,D,普通企业,文化和体育业,10+ years,0,1,2014/6/1,0,129,30,28.32,0,780.0,910.0,32,0,0.0,30054.46154,42.0,0,0,Jan-98,0,1,25.0,0.0,5.0,45.0,33.0,0,0,0.0,1
826,1016523,216523,22454.54545,3,9.135,614.42,B,政府机构,电力、热力生产供应业,10+ years,0,0,2014/7/1,4,152,14,26.55454545,1,705.0,763.75,9,0,0.0,23466.92308,73.7,0,0,Sep-87,4,1,4.0,0.0,7.0,15.0,10.0,3,5016,0.0,0
827,1002690,202690,6000.0,3,8.253,191.28,B,上市企业,公共服务、社会组织,10+ years,0,0,2015/2/1,0,266,31,15.94545455,0,556.3636364,695.4545455,9,0,0.0,3170.0,41.7,1,0,3-Mar,0,1,2.0,0.0,10.0,11.0,6.0,3,1656,496.8,0
828,1039197,239197,23613.63636,5,23.22,774.64,G,政府机构,制造业,10+ years,1,2,2013/8/1,5,251,8,24.57272727,0,622.7272727,674.6212121,11,0,0.0,18435.84615,91.5,0,0,Nov-88,173,1,8.0,0.0,6.0,14.0,9.0,0,0,0.0,1
829,1040655,240655,13090.90909,3,7.689,370.48,A,上市企业,住宿和餐饮业,9 years,0,1,2016/1/1,9,368,3,25.81090909,0,685.0,799.1666667,15,2,1.0,15501.23077,39.34615385,0,0,Jul-00,10,1,8.0,0.0,23.0,19.0,8.0,3,703,0.0,0
831,1010837,210837,13745.45455,3,11.14,551.13,B,普通企业,金融业,8 years,1,0,2013/6/1,4,4,3,8.54,0,627.2727273,784.0909091,10,0,0.0,29770.38462,74.09230769,1,0,Jun-89,808,1,8.0,0.0,1.0,15.0,8.0,2,5345,0.0,0
832,1035679,235679,2181.818182,3,16.01,70.33,C,普通企业,公共服务、社会组织,9 years,0,1,2018/4/1,0,194,38,32.78,0,645.4545455,753.030303,8,0,0.0,13470.15385,85.96153846,1,0,Oct-00,0,1,3.0,0.0,12.0,13.0,10.0,1,788,157.6,0
833,1037758,237758,20454.54545,3,8.496,800.13,B,普通企业,农、林、牧、渔业,5 years,2,1,2017/8/1,0,89,3,12.38181818,1,720.0,780.0,14,0,0.0,20805.07692,47.07692308,0,0,3-Feb,0,1,6.0,0.0,6.0,21.0,9.0,2,9092,0.0,0
835,1034412,234412,20000.0,5,22.22,532.11,D,普通企业,公共服务、社会组织,< 1 year,1,2,2013/11/1,0,135,33,24.96,0,645.4545455,699.2424242,11,0,0.0,10919.07692,86.67692308,1,0,4-Mar,26,1,7.0,0.0,6.0,8.0,6.0,2,4289,0.0,0
836,1035408,235408,21204.54545,3,14.09,798.22,B,政府机构,交通运输、仓储和邮政业,,0,2,2013/4/1,4,476,5,22.69636364,0,741.8181818,927.2727273,9,0,0.0,17948.0,83.19230769,1,0,Mar-98,44369,1,5.0,0.0,13.0,12.0,5.0,2,4320,1296.0,0
838,1019910,219910,16363.63636,3,6.62,460.56,A,普通企业,金融业,6 years,0,0,2012/12/1,2,16,5,1.78,0,770.0,834.1666667,5,0,0.0,155.7692308,3.461538462,1,0,Nov-90,664,1,1.0,0.0,6.0,5.0,5.0,0,0,0.0,1
839,1017645,217645,4800.0,3,12.897,164.83,C,上市企业,金融业,3 years,0,1,2013/9/1,0,222,12,7.273636364,1,665.0,775.8333333,7,0,0.0,21124.92308,66.92307692,1,0,Jun-99,0,1,3.0,0.0,10.0,11.0,4.0,3,888,0.0,0
841,1009511,209511,12409.09091,3,11.99,348.71,B,普通企业,文化和体育业,< 1 year,1,0,2017/6/1,0,579,20,24.44545455,0,705.0,763.75,8,0,0.0,3722.0,28.43076923,0,0,Nov-97,0,1,3.0,0.0,14.0,13.0,4.0,3,1293,0.0,0
842,1014489,214489,8400.0,3,7.579,258.95,A,普通企业,金融业,8 years,2,0,2015/11/1,4,495,14,29.4,0,774.5454545,839.0909091,8,0,0.0,20981.53846,93.69230769,0,0,2-Apr,4,1,3.0,0.0,10.0,9.0,4.0,0,64,6.4,0
843,1041945,241945,26181.81818,3,5.32,722.76,A,政府机构,信息传输、软件和信息技术服务业,3 years,0,2,2015/12/1,4,306,26,9.425454545,0,690.9090909,863.6363636,8,0,0.0,26991.0,40.89230769,0,0,May-95,4,1,2.0,0.0,2.0,13.0,7.0,0,2586,517.2,0
844,1008668,208668,5000.0,3,16.522,173.38,C,政府机构,文化和体育业,< 1 year,1,0,2018/7/1,3,693,19,18.02181818,0,774.5454545,903.6363636,7,0,0.0,16234.61538,53.95384615,1,0,1-Apr,3,1,4.0,0.0,4.0,7.0,3.0,1,737,0.0,0
845,1047058,247058,5909.090909,3,10.99,163.67,B,高等教育机构,公共服务、社会组织,,2,1,2014/2/1,4,603,13,17.15727273,2,736.3636364,920.4545455,16,3,0.0,7119.692308,61.49230769,1,0,Feb-76,4,1,10.0,0.0,5.0,31.0,16.0,3,1076,322.8,0
846,1003011,203011,7090.909091,3,12.639,197.83,B,政府机构,文化和体育业,1 year,0,1,2016/10/1,4,759,15,21.34545455,0,725.4545455,846.3636364,6,0,0.0,3015.692308,20.65384615,1,0,Jul-98,4,1,3.0,0.0,10.0,6.0,4.0,3,1694,0.0,0
847,1039725,239725,12436.36364,5,14.663,348.42,C,普通企业,电力、热力生产供应业,2 years,1,1,2015/4/1,0,195,38,25.75636364,0,631.8181818,737.1212121,18,1,1.0,16323.0,49.53846154,0,0,Sep-89,0,1,12.0,0.0,12.0,18.0,6.0,5,3881,776.2,0
848,1028898,228898,26400.0,5,18.891,654.56,E,世界五百强,交通运输、仓储和邮政业,10+ years,0,2,2015/10/1,0,130,33,20.29,0,774.5454545,968.1818182,9,0,0.0,28078.15385,84.57692308,0,0,Jun-00,0,1,6.0,0.0,3.0,13.0,11.0,0,0,0.0,1
849,1043030,243030,6545.454545,3,11.55,264.0,B,普通企业,金融业,10+ years,0,0,2013/9/1,0,412,13,9.68,0,609.0909091,710.6060606,9,0,0.0,6533.692308,58.3,1,0,6-Sep,0,1,6.0,0.0,1.0,6.0,6.0,0,3530,706.0,0
850,1001461,201461,10909.09091,3,13.11,404.97,B,世界五百强,采矿业,10+ years,0,0,2012/11/1,0,152,14,20.63636364,0,741.8181818,803.6363636,14,0,0.0,23483.38462,95.76923077,1,0,Sep-99,53,1,12.0,0.0,5.0,16.0,11.0,3,381,114.3,0
